date,title,link,PDF链接,PDF文本内容,PDF图片
2026-04-13,【4月24日-4月26日】“数智时代大学生领导力的挑战与重塑” 国际学术研讨会暨中欧LEAD学术联盟会议2号通...,https://www.cug.edu.cn/info/11050/117753.htm,,,
2026-03-30,【3月26日】丝路博士讲坛：答辩、学位申请及未来发展,https://www.cug.edu.cn/info/11050/117493.htm,,,
2026-03-21,【3月27日-29日】2026 年第九届图像与图形处理国际会议,https://www.cug.edu.cn/info/11050/117293.htm,,,
2026-03-17,【5月9日–10日】中国深部地热论坛2026暨中国自然资源学会地热资源与地质储能专委会成立大会 （一号通知...,https://www.cug.edu.cn/info/11050/117163.htm,,,
2026-03-12,【3月13日】2026年第3期名家论坛：英国杜伦大学郑冰寒教授学术报告,https://www.cug.edu.cn/info/11050/117043.htm,,,
2026-03-10,【3月12日】全球胜任力论坛：从学子到全球事务参与者:国际职业生涯中不可缺少的软技能,https://www.cug.edu.cn/info/11050/116903.htm,,,
2026-02-24,【4月24日-4月26日】“数智时代大学生领导力的挑战与重塑”国际学术研讨会暨中欧LEAD学术联盟会议通知（...,https://www.cug.edu.cn/info/11050/116653.htm,,,
2025-12-24,【12月26日】新时代高校学生国际就业力培养计划：商务部国际经贸司原一级巡视员：陈宁专题讲座,https://www.cug.edu.cn/info/11050/115623.htm,,,
2025-12-15,12月8日“南望今声”外语论坛系列讲座（80）：南京大学陈新仁教授学术报告,https://www.cug.edu.cn/info/11050/115443.htm,,,
2025-12-12,【2025年12月13-12月15日】计算机学院专业建设40周年暨空间地球大数据前沿进展论坛,https://www.cug.edu.cn/info/11050/115383.htm,,,
2025-12-09,“南望今声”外语论坛系列讲座（81）：武汉科技大学李金云教授讲座,https://www.cug.edu.cn/info/11050/115263.htm,,,
2025-12-08,【2025年12月5-12月7日】计算机学院专业建设40周年暨智能化软件与空间信息应用前沿进展论坛,https://www.cug.edu.cn/info/11050/115223.htm,,,
2025-12-03,【12月4日】艺媒学术论坛：长江日报社高级编辑毕竟学术报告,https://www.cug.edu.cn/info/11050/115033.htm,,,
2025-12-03,【12月4日】+丝路博士讲坛：Knowledge-Graph-Based Framework for Handling the Editorial Process,https://www.cug.edu.cn/info/11050/115023.htm,,,
2025-11-25,【11月28日】全球胜任力论坛：拆解全球贸易：WTO规则如何影响你买的每一件进口好物?,https://www.cug.edu.cn/info/11050/114773.htm,,,
